Name,Qty needed,Qty bought,Link,Price (Qty bought),Running total,Note
LED driver,1,1,https://www.lcsc.com/product-detail/C157417.html,US$3.29,US$3.29,
LED,72,80,https://www.lcsc.com/product-detail/C17215415.html,US$0.94,US$4.23,
RP2040 MCU,1,1,https://www.lcsc.com/product-detail/C2040.html,US$0.95,US$5.18,
USB-C PD controller,1,1,https://www.lcsc.com/product-detail/C970725.html,US$0.61,US$5.79,
USB-C port,1,5,https://www.lcsc.com/product-detail/C7463258.html,US$1.20,US$6.99,
Step-down buck converter to 3.3V,1,1,https://www.lcsc.com/product-detail/C60726.html,US$1.32,US$8.31,
12MHz crystal,1,5,https://www.lcsc.com/product-detail/C2901650.html,US$0.38,US$8.69,
32Mbit flash,1,1,https://www.lcsc.com/product-detail/C179173.html,US$1.66,US$10.35,can be interchanged with any memory size of the same family (up to 128Mbit)
RTC IC,1,1,https://www.lcsc.com/product-detail/C107410.html,US$3.01,US$13.36,
Coin battery holder,1,1,https://www.lcsc.com/product-detail/C7501066.html,US$0.82,US$14.18,
6P Socket for the display,1,6,https://www.lcsc.com/product-detail/C2897388.html,US$0.99,US$15.17,
Step-down buck converter to 10.5V,1,5,https://www.lcsc.com/product-detail/C52653.html,US$2.03,US$17.20,
Capacitive touch IC,3,3,https://www.lcsc.com/product-detail/C91322.html,US$9.56,US$26.76,
Buzzer,1,1,https://www.lcsc.com/product-detail/C255333.html,US$1.17,US$27.93,
NPN transitor,1,5,https://www.lcsc.com/product-detail/C7603172.html,US$0.04,US$27.97,
AO3401A,1,10,https://www.lcsc.com/product-detail/C15127.html,US$0.59,US$28.56,
AO3400A,1,5,https://www.lcsc.com/product-detail/C20917.html,US$0.41,US$28.97,
3.3uH inductor,2,5,https://www.lcsc.com/product-detail/C167219.html,US$0.85,US$29.82,
B220A diode,2,5,https://www.lcsc.com/product-detail/C110481.html,US$0.47,US$30.29,
Tactile button,1,10,https://www.lcsc.com/product-detail/C49140441.html,US$0.42,US$30.71,
6.8pF capacitor,1,50,https://www.lcsc.com/product-detail/C318672.html,US$0.53,US$31.24,
15pF capacitor,2,100,https://www.lcsc.com/product-detail/C1644.html,US$0.60,US$31.84,
180pF capacitor,1,100,https://www.lcsc.com/product-detail/C107041.html,US$0.43,US$32.27,
10nF capacitor,1,50,https://www.lcsc.com/product-detail/C1589.html,US$0.20,US$32.47,
0.1uF capacitor,20,50,https://www.lcsc.com/product-detail/C15725.html,US$0.35,US$32.82,
1uF capacitor,4,50,https://www.lcsc.com/product-detail/C5199872.html,US$0.45,US$33.27,
2.2uF capacitor,1,10,https://www.lcsc.com/product-detail/C19110.html,US$0.19,US$33.46,
10uF capacitor,3,10,https://www.lcsc.com/product-detail/C9807.html,US$0.39,US$33.85,
22uF capacitor,2,10,https://www.lcsc.com/product-detail/C602037.html,US$0.43,US$34.28,
27Ω resistor,3,100,https://www.lcsc.com/product-detail/C25190.html,US$0.15,US$34.43,
249Ω ±0.1% resistor,3,10,https://www.lcsc.com/product-detail/C870575.html,US$0.73,US$35.16,±0.1% because it controls LED driver's max output intensity
1kΩ resistor,2,100,https://www.lcsc.com/product-detail/C2907113.html,US$0.11,US$35.27,
1kΩ 500mW resistor,2,2,https://www.lcsc.com/product-detail/C966306.html,US$0.01,US$35.28,"R1, R2: usb-c PD, required ≥400mW"
10kΩ resistor,6,20,https://www.lcsc.com/product-detail/C95204.html,US$0.44,US$35.72,"±0.1% resistor, not required but recommended for R26, controls the 10.5V Vout of a converter "
4.7kΩ resistor,2,100,https://www.lcsc.com/product-detail/C2907034.html,US$0.12,US$35.84,
100kΩ ±0.1% resistor,2,20,https://www.lcsc.com/product-detail/C122538.html,US$0.45,US$36.29,±0.1% because it controls 3.3V Vout of a converter (R5)
1MΩ resistor,1,100,https://www.lcsc.com/product-detail/C2907115.html,US$0.11,US$36.40,
75kΩ resistor,3,100,https://www.lcsc.com/product-detail/C114636.html,US$0.16,US$36.56,
47kΩ resistor,1,100,https://www.lcsc.com/product-detail/C105579.html,US$0.16,US$36.72,
316kΩ ±0.1% resistor,1,20,https://www.lcsc.com/product-detail/C861833.html,US$0.55,US$37.27,±0.1% because it controls 3.3V Vout of a converter (R6)
121kΩ resistor,1,20,https://www.lcsc.com/product-detail/C861095.html,US$0.52,US$37.79,"±0.1% resistor, not required but recommended for R27, controls the 10.5V Vout of a converter "
LCSC FedEx fast shipping,,,-,US$29.40,US$67.19,Without fast shipping I won't be able to build it in time
LCSC shipping coupon,,,,-US$5.00,US$62.19,
,,,,,,
JLCPCB PCB + stencil,1,5,https://jlcpcb.com,US$18.21,US$80.40,
