"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BT1","1","BAT-HLD-001","","","","easyeda2kicad:BAT-SMD_BAT-HLD-001","https://www.lcsc.com/datasheet/C7501066.pdf"
"BUZZER1","1","FST-1230","","","","easyeda2kicad:BUZ-SMD_L12.0-W12.0_FUET-1230","https://lcsc.com/product-detail/Buzzers_FST-FST-1230_C391037.html"
"C1,C2,C16,C19","4","1uF","","","","easyeda2kicad:C0603",""
"C3,C7,C8,C9,C10,C11,C12,C13,C14,C15,C17,C18,C20,C21,C22,C23,C24,C30,C31,C32","20","0.1uF","","","","easyeda2kicad:C0603",""
"C4,C28,C33","3","10uF","","","","easyeda2kicad:C1206",""
"C5,C6","2","15pF","","","","easyeda2kicad:C0603",""
"C25","1","6.8pF","","","","easyeda2kicad:C0603",""
"C26","1","180pF","","","","easyeda2kicad:C0603",""
"C27","1","10nF","","","","easyeda2kicad:C0603",""
"C29,C34","2","22uF","","","","easyeda2kicad:C0805",""
"C35","1","2.2uF","","","","easyeda2kicad:C0805",""
"D1","1","B220A","","","","easyeda2kicad:SMA_L4.4-W2.8-LS5.4-RD","https://lcsc.com/product-detail/Schottky-Barrier-Diodes-SBD_DIODES_B220A-13-F_B220A-13-F_C110481.html"
"E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24","24","Sensor pad","","","","anvar:capacitive-touch-pad-trapezoid",""
"E25,E26,E27,E28","4","Control sensor pad","","","","anvar:capacitive-touch-pad-square10mm",""
"L1,L2","2","3.3uH","","","","easyeda2kicad:IND-SMD_L7.0-W6.6",""
"LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8,LED9,LED10,LED11,LED12,LED13,LED14,LED15,LED16,LED17,LED18,LED19,LED20,LED21,LED22,LED23,LED24,LED25,LED26,LED27,LED28,LED29,LED30,LED31,LED32,LED33,LED34,LED35,LED36,LED37,LED38,LED39,LED40,LED41,LED42,LED43,LED44,LED45,LED46,LED47,LED48,LED49,LED50,LED51,LED52,LED53,LED54,LED55,LED56,LED57,LED58,LED59,LED60,LED61,LED62,LED63,LED64,LED65,LED66,LED67,LED68,LED69,LED70,LED71,LED72","72","GW JTLMS1.EM-GVH3-XX57-1-60-R33","","","","easyeda2kicad:LED-SMD_L3.5-W2.8-RD_GW-JTLRS1.EM-K5L4-XX57-1","https://www.lcsc.com/datasheet/C17215415.pdf"
"M1","1","Fan","","","","anvar:SMD_2pads_polar_4mm_square",""
"Q1","1","NPN","","","","easyeda2kicad:SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_BJTs"
"Q2","1","AO3401A","","","","Package_TO_SOT_SMD:SOT-23","http://www.aosmd.com/pdfs/datasheet/AO3401A.pdf"
"Q3","1","AO3400A","","","","Package_TO_SOT_SMD:SOT-23","http://www.aosmd.com/pdfs/datasheet/AO3400A.pdf"
"R1,R2","2","1KΩ","","","","easyeda2kicad:R1210",""
"R3,R13,R31,R32","4","10KΩ","","","","easyeda2kicad:R0603",""
"R4","1","100KΩ","","","","easyeda2kicad:R0603",""
"R5","1","100kΩ","","","","easyeda2kicad:R0603",""
"R6","1","316kΩ","","","","easyeda2kicad:R0603",""
"R7,R8,R34","3","27Ω","","","","easyeda2kicad:R0603",""
"R9,R10,R11","3","249Ω","","","","easyeda2kicad:R1206",""
"R12,R14","2","1KΩ","","","","easyeda2kicad:R0603",""
"R15,R18,R26","3","10kΩ","","","","easyeda2kicad:R0603",""
"R19,R20","2","4.7kΩ","","","","easyeda2kicad:R0603",""
"R21,R22,R28","3","75kΩ","","","","easyeda2kicad:R0603",""
"R25","1","47kΩ","","","","easyeda2kicad:R0603",""
"R27","1","121kΩ","","","","easyeda2kicad:R0603",""
"R33","1","1MΩ","","","","easyeda2kicad:R0603",""
"SW1","1","TP15822637","","","","easyeda2kicad:SW-SMD_4P-L5.2-W5.2-P3.70-LS6.4","https://www.lcsc.com/datasheet/C49140441.pdf"
"U1","1","STP24DP05BTR","","","","easyeda2kicad:TQFP-48_L7.0-W7.0-P0.50-LS9.0-BL-EP3.5","https://www.lcsc.com/datasheet/C157417.pdf"
"U2","1","CH224K","","","","easyeda2kicad:ESSOP-10_L4.9-W3.9-P1.0-LS6.0-TL-EP","https://www.lcsc.com/datasheet/C970725.pdf"
"U3","1","TPS62160DGKR","","","","easyeda2kicad:MSOP-8_L3.0-W3.0-P0.65-LS5.0-BL","https://lcsc.com/product-detail/DC-DC-Converters_TI_TPS62160DGKR_TPS62160DGKR_C60726.html"
