Designator,Footprint,Quantity,Value,LCSC Part #
"24, 25, 26, 27",TestPoint_THTPad_1.5x1.5mm_Drill0.7mm,4,ExtraGPIO,
BT1,BAT-SMD_BAT-HLD-001,1,BAT-HLD-001,C7501066
BUZZER1,BUZ-SMD_L12.0-W12.0_FUET-1230,1,FST-1230,C391037
"C1, C16, C19, C2",C0603,4,1uF,C1644
"C10, C11, C12, C13, C14, C15, C17, C18, C20, C21, C22, C23, C24, C3, C30, C31, C32, C7, C8, C9",C0603,20,0.1uF,C1644
C25,C0603,1,6.8pF,C1644
C26,C0603,1,180pF,C1644
C27,C0603,1,10nF,C1644
"C28, C33, C4",C1206,3,10uF,C9807
"C29, C34",C0805,2,22uF,C602037
C35,C0805,1,2.2uF,C602037
"C5, C6",C0603,2,15pF,C1644
"D1, D2",SMA_L4.4-W2.8-LS5.4-RD,2,B220A,C110481
"E1, E10, E11, E12, E13, E14, E15, E16, E17, E18, E19, E2, E20, E21, E22, E23, E24, E3, E4, E5, E6, E7, E8, E9",capacitive-touch-pad-trapezoid,24,Sensor pad,
"E25, E26, E27, E28",capacitive-touch-pad-square10mm,4,Control sensor pad,
"L1, L2",IND-SMD_L7.0-W6.6,2,3.3uH,C167219
"LED1, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED2, LED20, LED21, LED22, LED23, LED24, LED25, LED26, LED27, LED28, LED29, LED3, LED30, LED31, LED32, LED33, LED34, LED35, LED36, LED37, LED38, LED39, LED4, LED40, LED41, LED42, LED43, LED44, LED45, LED46, LED47, LED48, LED49, LED5, LED50, LED51, LED52, LED53, LED54, LED55, LED56, LED57, LED58, LED59, LED6, LED60, LED61, LED62, LED63, LED64, LED65, LED66, LED67, LED68, LED69, LED7, LED70, LED71, LED72, LED8, LED9",LED-SMD_L3.5-W2.8-RD_GW-JTLRS1.EM-K5L4-XX57-1,72,GW JTLMS1.EM-GVH3-XX57-1-60-R33,C17215415
M1,SMD_2pads_polar_4mm_square,1,Fan,
Q1,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,NPN,C347475
Q2,SOT-23,1,AO3401A,
Q3,SOT-23,1,AO3400A,
"R1, R2",R1210,2,1KΩ,C966306
"R10, R11, R9",R1206,3,249Ω,C870575
"R12, R14",R0603,2,1KΩ,C25190
"R13, R15, R18, R26, R3, R31, R32",R0603,7,10KΩ,C25190
"R19, R20",R0603,2,4.7kΩ,C25190
"R21, R22, R28",R0603,3,75kΩ,C25190
R25,R0603,1,47kΩ,C25190
R27,R0603,1,121kΩ,C25190
R33,R0603,1,1MΩ,C25190
"R34, R7, R8",R0603,3,27Ω,C25190
"R4, R5",R0603,2,100KΩ,C25190
R6,R0603,1,316kΩ,C25190
SW1,SW-SMD_4P-L5.2-W5.2-P3.70-LS6.4,1,TP15822637,C49140441
U1,TQFP-48_L7.0-W7.0-P0.50-LS9.0-BL-EP3.5,1,STP24DP05BTR,C157417
U11,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,TPS54232DR,C52653
"U12, U8, U9",QFN-20_L3.0-W3.0-P0.40-BL,3,MPR121QR2,C91322
U13,HDR-TH_6P-P2.54-H-F-W10.0-N,1,PM254-1-06-W-8.5,C2897388
U2,ESSOP-10_L4.9-W3.9-P1.0-LS6.0-TL-EP,1,CH224K,C970725
U3,MSOP-8_L3.0-W3.0-P0.65-LS5.0-BL,1,TPS62160DGKR,C60726
U4,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U5,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,12MHz crystal,C2901650
U6,SOP-8_L5.3-W5.3-P1.27-LS8.0-BL,1,W25Q64JVSSIQ,C83140
U7,SOIC-8_3.9x4.9mm_P1.27mm,1,DS3231MZ,
USBC1,USB-C-TH_TYPE-C-31-D-09,1,TYPE-C-31-D-09_C7463258,C7463258
