Designator,Mid X,Mid Y,Rotation,Layer
24,117.6,-79.9,180.0,bottom
25,117.6,-77.25,180.0,bottom
26,120.2,-79.9,180.0,bottom
27,120.2,-77.25,180.0,bottom
BT1,134.8,-77.0,180.0,bottom
BUZZER1,76.2,-132.0,90.0,bottom
C1,94.25,-137.5,0.0,top
C10,123.1,-106.95,0.0,bottom
C11,129.9,-103.45,0.0,bottom
C12,126.85,-105.2,180.0,bottom
C13,123.8,-103.45,0.0,bottom
C14,123.8,-105.2,0.0,bottom
C15,123.8,-103.5,180.0,top
C16,129.9,-100.45,0.0,bottom
C17,126.85,-105.2,0.0,top
C18,130.1,-105.2,180.0,top
C19,130.1,-106.95,180.0,top
C2,90.5,-137.5,180.0,top
C20,138.7,-92.1,0.0,bottom
C21,129.4,-130.0,180.0,top
C22,130.3,-128.3,0.0,top
C23,62.1,-101.5,270.0,bottom
C24,63.9,-101.5,90.0,bottom
C25,116.5,-130.75,180.0,top
C26,113.0,-134.0,0.0,top
C27,119.95,-130.75,180.0,top
C28,106.25,-137.25,180.0,top
C29,110.0,-140.75,0.0,bottom
C3,76.8,-107.2,0.0,bottom
C30,113.0,-137.5,180.0,top
C31,75.7,-77.5,90.0,top
C32,73.7,-72.9,0.0,bottom
C33,94.5,-127.75,0.0,bottom
C34,92.5,-130.5,180.0,bottom
C35,131.6,-116.7,180.0,bottom
C4,80.3,-105.9,90.0,top
C5,136.85,-123.95,0.0,bottom
C6,133.1,-120.95,180.0,bottom
C7,131.1,-118.7,180.0,bottom
C8,126.85,-103.45,180.0,bottom
C9,129.85,-98.7,0.0,bottom
D1,106.75,-128.5,0.0,bottom
D2,103.093,-123.810125,180.0,bottom
E1,106.85262409611003,-47.94914456931309,352.5,top
E10,131.95997471450437,-141.65104967014562,217.5,top
E11,120.09087971618254,-148.50367476625564,202.5,top
E12,106.85262409611003,-152.05085443068688,187.5,top
E13,93.14737490388997,-152.05085443068688,172.5,top
E14,79.90911928381746,-148.50367476625564,157.5,top
E15,68.04002428549563,-141.65104967014562,142.5,top
E16,58.348949329854385,-131.95997471450437,127.5,top
E17,51.49632423374435,-120.09087971618254,112.5,top
E18,47.94914456931309,-106.85262409611003,97.5,top
E19,47.94914456931309,-93.14737490388997,82.5,top
E2,120.09087971618254,-51.49632423374435,337.5,top
E20,51.49632423374435,-79.90911928381746,67.5,top
E21,58.348949329854385,-68.04002428549563,52.5,top
E22,68.04002428549563,-58.348949329854385,37.5,top
E23,79.90911928381746,-51.49632423374435,22.5,top
E24,93.14737490388997,-47.94914456931309,7.5,top
E25,87.8,-69.5,0.0,top
E26,100.0,-75.5,0.0,top
E27,100.0,-63.5,0.0,top
E28,112.2,-69.5,0.0,top
E3,131.95997471450437,-58.348949329854385,322.5,top
E4,141.65104967014562,-68.04002428549563,307.5,top
E5,148.50367476625564,-79.90911928381746,292.5,top
E6,152.05085443068688,-93.14737490388997,277.5,top
E7,152.05085443068688,-106.85262409611003,262.5,top
E8,148.50367476625564,-120.09087971618254,247.5,top
E9,141.65104967014562,-131.95997471450437,232.5,top
L1,88.0,-125.25,270.0,bottom
L2,114.75,-128.5,180.0,bottom
LED1,102.69240666847452,-38.33374826093501,87.5,top
LED10,145.5084427323772,-58.299194307094304,42.5,top
LED11,148.9697348314199,-62.424200392977404,37.5,top
LED12,152.05833635240145,-66.83518139229538,32.5,top
LED13,154.750743020876,-71.49856586863963,27.5,top
LED14,157.0264641285594,-76.37886494390041,22.5,top
LED15,158.86817783854426,-81.43893409486367,17.5,top
LED16,160.261870598042,-86.64026389383298,12.5,top
LED17,161.1969336631222,-91.94327070286052,7.5,top
LED18,161.666250739065,-97.30759233152547,2.5,top
LED19,161.666250739065,-102.69240666847452,357.5,top
LED2,108.05672829713949,-38.8030653368778,82.5,top
LED20,161.1969336631222,-108.05672829713949,352.5,top
LED21,160.261870598042,-113.35973510616702,347.5,top
LED22,158.86817783854426,-118.56106490513633,342.5,top
LED23,157.0264641285594,-123.62113405609959,337.5,top
LED24,154.750743020876,-128.50143313136036,332.5,top
LED25,152.05833635240145,-133.16481760770463,327.5,top
LED26,148.9697348314199,-137.57579860702262,322.5,top
LED27,145.5084427323772,-141.7008046929057,317.5,top
LED28,141.7008046929057,-145.5084427323772,312.5,top
LED29,137.57579860702262,-148.9697348314199,307.5,top
LED3,113.35973510616702,-39.73812840195798,77.5,top
LED30,133.16481760770463,-152.05833635240145,302.5,top
LED31,128.50143313136036,-154.750743020876,297.5,top
LED32,123.62113405609959,-157.0264641285594,292.5,top
LED33,118.56106490513633,-158.86817783854426,287.5,top
LED34,113.35973510616702,-160.261870598042,282.5,top
LED35,108.05672829713949,-161.1969336631222,277.5,top
LED36,102.69240666847452,-161.666250739065,272.5,top
LED37,97.30759233152547,-161.666250739065,267.5,top
LED38,91.94327070286052,-161.1969336631222,262.5,top
LED39,86.64026389383298,-160.261870598042,257.5,top
LED4,118.56106490513633,-41.13182116145577,72.5,top
LED40,81.43893409486367,-158.86817783854426,252.5,top
LED41,76.37886494390041,-157.0264641285594,247.5,top
LED42,71.49856586863963,-154.750743020876,242.5,top
LED43,66.83518139229538,-152.05833635240145,237.5,top
LED44,62.424200392977404,-148.9697348314199,232.5,top
LED45,58.299194307094304,-145.5084427323772,227.5,top
LED46,54.491556267622784,-141.7008046929057,222.5,top
LED47,51.03026416858009,-137.57579860702262,217.5,top
LED48,47.94166264759854,-133.16481760770463,212.5,top
